Entropy_Average Random_Average Run_Number Entropy_Distance Random_Distance
0.5018152385243574 0.5002604466304653 0 0.0018152385243573876 2.6044663046531635E-4
0.5008342978970448 0.5012853153396203 1 8.342978970448112E-4 0.0012853153396202854
0.49682292704670655 0.4999579037799104 2 0.003177072953293447 4.2096220089604675E-5
0.5013945555216477 0.501332134811355 3 0.001394555521647689 0.001332134811354968
0.49962354031590017 0.5013124445043146 4 3.76459684099828E-4 0.0013124445043145583
0.499085667767379 0.498282001444757 5 9.143322326209957E-4 0.0017179985552430166
0.5005465124342342 0.499927006375317 6 5.465124342342031E-4 7.29936246829932E-5
0.4989720646266085 0.5004219953418989 7 0.0010279353733915197 4.219953418989064E-4
0.499226605475287 0.4998968829216034 8 7.733945247129781E-4 1.0311707839660844E-4
0.4998281072886401 0.5006168251531947 9 1.7189271135992223E-4 6.168251531947222E-4
0.5007266663943493 0.4992176377089009 10 7.266663943492624E-4 7.823622910991257E-4
0.5018173608252913 0.5010625701673523 11 0.0018173608252912699 0.0010625701673523391
0.49935839421376854 0.49781848204145784 12 6.416057862314584E-4 0.0021815179585421562
0.5004833957989201 0.5004078871276391 13 4.833957989200943E-4 4.0788712763906165E-4
0.4996637881462765 0.5009273630671978 14 3.362118537235115E-4 9.273630671977617E-4
0.49936475238103406 0.49947624926696976 15 6.352476189659395E-4 5.237507330302371E-4
0.4993309949125386 0.5009473764904798 16 6.690050874614273E-4 9.473764904798232E-4
0.5012521864950736 0.49900487717252995 17 0.0012521864950736372 9.951228274700519E-4
0.5006735815299219 0.49905545894934694 18 6.735815299219183E-4 9.445410506530583E-4
0.4994092919969086 0.5015192236456427 19 5.907080030914114E-4 0.00151922364564272
0.49947762869658785 0.5000976545971664 20 5.223713034121502E-4 9.765459716637448E-5
0.4994052777316548 0.500830944961302 21 5.947222683452269E-4 8.309449613019826E-4
0.5011668560630218 0.5011222085264623 22 0.0011668560630218039 0.001122208526462276
0.49964485188159097 0.5010051803478044 23 3.5514811840903215E-4 0.0010051803478043908
0.5003025094986607 0.49957260149804283 24 3.025094986607302E-4 4.273985019571658E-4
0.5007504142083593 0.4991159980920523 25 7.504142083593068E-4 8.840019079476846E-4
0.500140068689382 0.49896291284573635 26 1.4006868938198913E-4 0.0010370871542636495
0.5001493384867668 0.5001525521892444 27 1.493384867667924E-4 1.5255218924437042E-4
0.4972695420425609 0.4997019694367467 28 0.002730457957439092 2.9803056325328203E-4
0.4977664028349011 0.4996937760703504 29 0.0022335971650989106 3.062239296495739E-4
0.49881007531491084 0.5003112102008329 30 0.001189924685089161 3.1121020083291207E-4
0.49956311245407387 0.4990412344031584 31 4.3688754592613455E-4 9.587655968416042E-4
0.5003103008432237 0.5006245345804258 32 3.1030084322369866E-4 6.245345804257729E-4
0.500906949104113 0.499498150535071 33 9.069491041130417E-4 5.018494649289829E-4
0.49997177744190957 0.5006801838716949 34 2.8222558090429395E-5 6.801838716948838E-4
0.4989316091401811 0.4992149437261502 35 0.001068390859818913 7.850562738497824E-4
0.5000936561122761 0.5011123879239521 36 9.365611227607484E-5 0.001112387923952074
0.4997559062643183 0.500307141006112 37 2.4409373568168302E-4 3.0714100611195505E-4
0.5003838016911888 0.4997588758686485 38 3.838016911887898E-4 2.4112413135152222E-4
0.49981215160774095 0.49995546776118027 39 1.8784839225904904E-4 4.453223881972779E-5
0.5004974536888981 0.499787616458236 40 4.974536888980863E-4 2.123835417640052E-4
0.501855963009235 0.4981711333009776 41 0.0018559630092349622 0.00182886669902238
0.49925327023409016 0.5006975046970474 42 7.467297659098371E-4 6.975046970474352E-4
0.5009734875786873 0.49979019906759997 43 9.734875786873154E-4 2.0980093240002828E-4
0.4992030387285971 0.5010624882963798 44 7.969612714028851E-4 0.0010624882963797821
0.4995962472987069 0.5003368809267139 45 4.0375270129311414E-4 3.368809267139117E-4
0.5009546649671576 0.5004368788115368 46 9.546649671575702E-4 4.368788115367561E-4
0.5009210960411238 0.500263083704124 47 9.210960411237812E-4 2.6308370412397863E-4
